QuestionNo,StepNo,SimTime,VehicleID,CommandID,CarrierID,VehicleState,CurrentEdgeID,Position,Speed,NextEdgeID,Action,Reason,RelatedVehicleID
1,10,2.0,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,21259.5,710.0,511,运行,正常运行,
1,10,2.0,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,6497.7,710.0,,运行,正常运行,
1,10,2.0,OHT12,HOSTTRANSFER-20251001155204417,,前往取货,488,15761.1,710.0,,运行,正常运行,
1,10,2.0,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,25024.5,710.0,489,运行,汇流避让,
1,10,2.0,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,9971.5,710.0,,运行,正常运行,
1,10,2.0,OHT15,HOSTTRANSFER-20251001155204412,,取货,483,20726.0,0.0,,取货,Port作业,
1,10,2.0,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,6446.7,710.0,,运行,正常运行,
1,10,2.0,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,15619.5,710.0,,运行,正常运行,
1,10,2.0,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,24792.3,710.0,455,运行,汇流避让,
1,10,2.0,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,9941.5,710.0,449,运行,弯轨等待,
1,10,2.0,OHT20,HOSTTRANSFER-20251001155204397,,取货,448,20646.0,0.0,,取货,Port作业,
1,11,2.2,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,4677.7,710.0,547,运行,弯轨等待,OHT03
1,11,2.2,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,10453.1,710.0,547,运行,弯轨等待,OHT03
1,11,2.2,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,16228.5,710.0,547,运行,正常运行,
1,11,2.2,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,9988.7,710.0,540,运行,弯轨等待,
1,11,2.2,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,21401.5,710.0,541,运行,正常运行,
