step,time_hours,accepted_attempt_total_seconds,accepted_outer_coupling_seconds,accepted_coupling_overhead_seconds,accepted_ice_solve_seconds,accepted_matrix_assembly_seconds,accepted_preconditioner_build_seconds,accepted_gmres_seconds,accepted_ice_residual_evaluation_seconds,accepted_ocean_solve_seconds,accepted_thickness_transport_seconds,accepted_force_budget_seconds,accepted_postprocess_seconds,output_capture_seconds,all_attempts_total_seconds
60,5.0,0.7227609999827109,0.711030300008133,0.005495599936693907,0.642929500027094,0.31666170014068484,0.10837369994260371,0.0282897999859415,0.1789929000660777,0.06260520004434511,0.00022579997312277555,0.01031360001070425,9.679998038336635e-05,0.00016930000856518745,0.7227609999827109
61,5.083333333333333,0.89649690000806,0.8859462000546046,0.00578600016888231,0.8186740999808535,0.42569590016501024,0.12835649983026087,0.03232889994978905,0.2207161002443172,0.06148609990486875,0.0001545000122860074,0.009597700031008571,8.979998528957367e-05,0.00023200002033263445,0.89649690000806
62,5.166666666666667,0.7496003999840468,0.7327262000180781,0.008449600078165531,0.632515599951148,0.31236929987790063,0.11963209992973134,0.025925600086338818,0.16367309988709167,0.09176099998876452,0.00028579996433109045,0.015472600003704429,0.00013239996042102575,0.0003671000013127923,0.7496003999840468
63,5.25,0.5711239000083879,0.5603032999788411,0.006566800002474338,0.47817039996152744,0.23633109993534163,0.0871647999738343,0.01870250003412366,0.1277422999846749,0.07556610001483932,0.0001330000231973827,0.00965259998338297,0.00010160001693293452,0.0001776000135578215,0.5711239000083879
64,5.333333333333333,0.5987439000164159,0.588066499971319,0.0066229000221937895,0.5162603998905979,0.2621025001280941,0.08715469995513558,0.020518899895250797,0.1374582999269478,0.06518320005852729,0.00012669997522607446,0.009763500012923032,9.039998985826969e-05,0.0002557000261731446,0.5987439000164159
65,5.416666666666667,0.9251117999665439,0.9151890999637544,0.008866000280249864,0.7955412998562679,0.4022316999034956,0.1360335999634117,0.030743299867026508,0.21401789999799803,0.11078179982723668,0.00014329998521134257,0.008887399977538735,8.719996549189091e-05,0.00017989997286349535,0.9251117999665439
66,5.5,0.6683001999626867,0.6581665999838151,0.006294199905823916,0.5797080000047572,0.2970830998965539,0.10436090006260201,0.02279319998342544,0.1456886999658309,0.07216440007323399,0.00012640003114938736,0.00925999996252358,8.919998072087765e-05,0.00017519999528303742,0.6683001999626867
67,5.583333333333333,0.6801455999957398,0.6695683000143617,0.007033699890598655,0.5858316001249477,0.29870910005411133,0.10647660010727122,0.02231640013633296,0.14899420022265986,0.07670299999881536,0.0001267999759875238,0.009639099997002631,9.290000889450312e-05,0.00017799995839595795,0.6801455999957398
68,5.666666666666667,0.617156199994497,0.6021938000340015,0.005813100025989115,0.5339401000528596,0.27056670014280826,0.09512230026302859,0.020695399784017354,0.13919120014179498,0.06244059995515272,0.0001246000174432993,0.013954300025943667,0.00015119998715817928,0.00028689997270703316,0.617156199994497
69,5.75,0.6175264000194147,0.6062679999740794,0.007183899928350002,0.5112448999425396,0.25185599987162277,0.10083920031320304,0.01954769983422011,0.1300299999420531,0.0878392001031898,0.00013390003005042672,0.010081399988848716,9.42000187933445e-05,0.00018309999722987413,0.6175264000194147
