step,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,retry_stage,retry_attempts,coupling_iterations,picard_iterations,gmres_iterations,thickness_substeps,all_attempts_coupling_iterations,all_attempts_picard_iterations,all_attempts_gmres_iterations
230,19.166666666666668,0.0,0.0,0.0,standard,1,11,14,40,1,11,14,40
231,19.25,0.0,0.0,0.0,standard,1,10,12,35,1,10,12,35
232,19.333333333333332,0.0,0.0,0.0,standard,1,10,11,33,1,10,11,33
233,19.416666666666668,0.0,0.0,0.0,standard,1,14,30,93,1,14,30,93
234,19.5,0.0,0.0,0.0,standard,1,9,11,33,1,9,11,33
235,19.583333333333332,0.0,0.0,0.0,standard,1,9,27,81,1,9,27,81
236,19.666666666666668,0.0,0.0,0.0,standard,1,9,25,75,1,9,25,75
237,19.75,0.0,0.0,0.0,standard,1,9,24,74,1,9,24,74
238,19.833333333333332,0.0,0.0,0.0,standard,1,9,24,78,1,9,24,78
239,19.916666666666668,0.0,0.0,0.0,standard,1,10,20,63,1,10,20,63
240,20.0,0.0,0.0,0.0,standard,1,10,47,156,1,10,47,156
241,20.083333333333332,0.0,0.0,0.0,standard,1,8,48,153,1,8,48,153
242,20.166666666666668,0.0,0.0,0.0,standard,1,9,34,109,1,9,34,109
243,20.25,0.0,0.0,0.0,standard,1,7,24,72,1,7,24,72
244,20.333333333333332,0.0,0.0,0.0,standard,1,10,19,57,1,10,19,57
245,20.416666666666668,0.0,0.0,0.0,standard,1,9,12,36,1,9,12,36
246,20.5,0.0,0.0,0.0,standard,1,9,12,36,1,9,12,36
247,20.583333333333332,0.0,0.0,0.0,standard,1,11,14,42,1,11,14,42
248,20.666666666666668,0.0,0.0,0.0,standard,1,11,12,36,1,11,12,36
249,20.75,0.0,0.0,0.0,standard,1,10,21,63,1,10,21,63
250,20.833333333333332,0.0,0.0,0.0,standard,1,10,30,92,1,10,30,92
251,20.916666666666668,0.0,0.0,0.0,standard,1,15,25,75,1,15,25,75
252,21.0,0.0,0.0,0.0,standard,1,7,29,94,1,7,29,94
253,21.083333333333332,0.0,0.0,0.0,standard,1,8,19,58,1,8,19,58
254,21.166666666666668,0.0,0.0,0.0,standard,1,11,27,84,1,11,27,84
255,21.25,0.0,0.0,0.0,standard,1,9,33,106,1,9,33,106
256,21.333333333333332,0.0,0.0,0.0,standard,1,10,48,154,1,10,48,154
257,21.416666666666668,0.0,0.0,0.0,standard,1,9,32,102,1,9,32,102
258,21.5,0.0,0.0,0.0,standard,1,10,21,63,1,10,21,63
259,21.583333333333332,0.0,0.0,0.0,standard,1,8,14,42,1,8,14,42
260,21.666666666666668,0.0,0.0,0.0,standard,1,7,23,71,1,7,23,71
261,21.75,0.0,0.0,0.0,standard,1,8,23,70,1,8,23,70
262,21.833333333333332,0.0,0.0,0.0,standard,1,8,35,106,1,8,35,106
263,21.916666666666668,0.0,0.0,0.0,standard,1,12,34,103,1,12,34,103
264,22.0,0.0,0.0,0.0,standard,1,8,30,92,1,8,30,92
265,22.083333333333332,0.0,0.0,0.0,standard,1,7,28,86,1,7,28,86
266,22.166666666666668,0.0,0.0,0.0,standard,1,13,20,60,1,13,20,60
267,22.25,0.0,0.0,0.0,standard,1,12,21,64,1,12,21,64
268,22.333333333333332,0.0,0.0,0.0,standard,1,13,44,140,1,13,44,140
269,22.416666666666668,0.0,0.0,0.0,standard,1,11,21,65,1,11,21,65
270,22.5,0.0,0.0,0.0,standard,1,9,51,165,1,9,51,165
271,22.583333333333332,0.0,0.0,0.0,standard,1,11,36,114,1,11,36,114
272,22.666666666666668,0.0,0.0,0.0,standard,1,8,20,61,1,8,20,61
273,22.75,0.0,0.0,0.0,standard,1,12,31,94,1,12,31,94
274,22.833333333333332,0.0,0.0,0.0,standard,1,14,25,75,1,14,25,75
275,22.916666666666668,0.0,0.0,0.0,standard,1,12,30,91,1,12,30,91
276,23.0,0.0,0.0,0.0,standard,1,10,26,78,1,10,26,78
277,23.083333333333332,0.0,0.0,0.0,standard,1,13,14,39,1,13,14,39
278,23.166666666666668,0.0,0.0,0.0,standard,1,8,8,24,1,8,8,24
279,23.25,0.0,0.0,0.0,standard,1,14,15,45,1,14,15,45
280,23.333333333333332,0.0,0.0,0.0,standard,1,12,17,52,1,12,17,52
281,23.416666666666668,0.0,0.0,0.0,standard,1,14,28,85,1,14,28,85
282,23.5,0.0,0.0,0.0,standard,1,9,25,80,1,9,25,80
283,23.583333333333332,0.0,0.0,0.0,standard,1,12,52,174,1,12,52,174
284,23.666666666666668,0.0,0.0,0.0,standard,1,16,38,120,1,16,38,120
285,23.75,0.0,0.0,0.0,standard,1,11,30,92,1,11,30,92
286,23.833333333333332,0.0,0.0,0.0,standard,1,12,21,63,1,12,21,63
287,23.916666666666668,0.0,0.0,0.0,standard,1,14,15,45,1,14,15,45
288,24.0,0.0,0.0,0.0,standard,1,14,17,51,1,14,17,51
