step,time_seconds,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,mean_thickness_m,center_thickness_m,minimum_thickness_m,maximum_thickness_m,ice_volume_m3,ice_volume_relative_error,maximum_ice_speed_mps,maximum_ocean_speed_mps,mean_sea_surface_m,ice_residual,gmres_residual,coupling_residual,water_residual,water_residual_xi,water_residual_u,water_residual_v,helmholtz_residual,drag_closure_error,drag_face_l1_closure_error,drag_object_reused,maximum_inactive_drag,thickness_cfl_macro,thickness_substeps
32,9600.0,2.6666666666666665,0.0,0.0,0.0,0.5,0.5437273502169108,9.132665302471047e-07,0.8822580426153014,100000000.0,0.0,0.16195230105315814,0.010303158257262553,-6.70019595361282e-16,0.000963197657223533,4.5728273635258615e-09,9.677611763890584e-06,6.0765338490547186e-09,6.177736770105904e-11,3.268502728240542e-10,6.0765338490547186e-09,1.2351071621320756e-13,0.0,0.0,True,0.0,0.37280277351187807,1
33,9900.0,2.75,0.0,0.0,0.0,0.5,0.5450053684957988,6.041394469198369e-07,0.8834474226028187,100000000.0,0.0,0.16179205644131975,0.01062974479256117,-6.889822046218796e-16,0.000962831684224125,3.577984829987757e-09,9.051937634474325e-06,6.10766661757014e-09,5.801066816654948e-11,3.396048168032699e-10,6.10766661757014e-09,1.223660411880903e-13,0.0,0.0,True,0.0,0.37089211159758056,1
34,10200.0,2.8333333333333335,0.0,0.0,0.0,0.5,0.5462760158798361,3.996472732444639e-07,0.8844022887265273,100000000.0,0.0,0.16274517576768552,0.010953412596505814,-7.073230889886873e-16,0.0009153284699409228,1.432894713845169e-09,6.71065723200978e-06,6.276880073111411e-09,6.474806475403595e-11,3.680543112542858e-10,6.276880073111411e-09,1.199985788839382e-13,0.0,0.0,True,0.0,0.3740442560099519,1
35,10500.0,2.9166666666666665,0.0,0.0,0.0,0.5,0.5475390164003324,2.643726438759495e-07,0.8854948714093682,100000000.0,0.0,0.1626800526718068,0.011273214232112283,-7.258194045789424e-16,0.0005027625751487064,3.7134846461139453e-09,9.96448861742592e-06,6.448698681406491e-09,6.152412989155068e-11,3.9356345989849655e-10,6.448698681406491e-09,1.2055334760379904e-13,0.0,0.0,True,0.0,0.3739104928215595,1
36,10800.0,3.0,0.0,0.0,0.0,0.5,0.5487942339942822,1.748864529523169e-07,0.8866045329967603,100000000.0,0.0,0.16209769819358508,0.011588942936688875,-7.441602889457499e-16,0.0009972269817932718,2.673740872166245e-10,7.5280319186912895e-06,6.565353791983697e-09,5.856226067177792e-11,4.0649335057561947e-10,6.565353791983697e-09,1.176525239068689e-13,0.0,0.0,True,0.0,0.37878960520264654,1
37,11100.0,3.0833333333333335,0.0,0.0,0.0,0.5,0.5500414897439567,1.1569000014616919e-07,0.8876887948762956,100000000.0,0.0,0.16273840826233144,0.011899817329262482,-7.624123554705875e-16,0.0009620043354784516,1.9127891759551654e-09,9.128077998692318e-06,6.6067483942147485e-09,5.724384094290564e-11,4.159654222508412e-10,6.6067483942147485e-09,1.2187487859979915e-13,0.0,0.0,True,0.0,0.3823695426048205,1
38,11400.0,3.1666666666666665,0.0,0.0,0.0,0.5,0.5512805286130034,7.653066247842618e-08,0.8884845314203276,100000000.0,0.0,0.163718415611921,0.012206596433291198,-7.8026474170656e-16,0.0005694361090412446,3.32565520889556e-09,9.992204622967747e-06,6.737651092203565e-09,6.463032348209213e-11,4.325418513305218e-10,6.737651092203565e-09,1.2510901065917192e-13,0.0,0.0,True,0.0,0.38590202795590217,1
39,11700.0,3.25,0.0,0.0,0.0,0.5,0.5525110753812468,5.898055059060379e-08,0.8894737031786655,100000000.0,0.0,0.16293843679483755,0.012509365662194221,-7.9818374132401e-16,0.000950013978128696,1.1779615975204045e-09,8.006997148690393e-06,6.9077948921966954e-09,6.273964495348765e-11,4.438681655086939e-10,6.9077948921966954e-09,1.1962623391303918e-13,0.0,0.0,True,0.0,0.3841888255607656,1
40,12000.0,3.3333333333333335,0.0,0.0,0.0,0.5,0.5537331023967419,4.5444701408614115e-08,0.8903419244796817,100000000.0,0.0,0.16278306792294603,0.012807515737031493,-8.157696740340726e-16,0.0009837759758056111,4.270572521204609e-09,8.170488306651358e-06,6.977520284305887e-09,6.499135222210918e-11,4.505141423503304e-10,6.977520284305887e-09,1.231708745279125e-13,0.0,0.0,True,0.0,0.384367907719962,1
41,12300.0,3.4166666666666665,0.0,0.0,0.0,0.5,0.5549464168803042,3.5007317729371345e-08,0.8913109942428004,100000000.0,0.0,0.16355065207775396,0.01309853727941023,-8.33000335376255e-16,0.0005816913075966845,4.716096904489458e-09,9.901285390938289e-06,6.998508971859177e-09,5.980576978216281e-11,4.580717076052363e-10,6.998508971859177e-09,1.1976847980968853e-13,0.0,0.0,True,0.0,0.38998481165994703,1
42,12600.0,3.5,0.0,0.0,0.0,0.5,0.5561508123489529,2.695878247701437e-08,0.8920323929911479,100000000.0,0.0,0.16420134762109007,0.013386177585402633,-8.504086324023774e-16,0.0006780808260558417,4.70435987540486e-09,9.953628305104775e-06,7.118499191525899e-09,5.984612071125859e-11,4.672012831799651e-10,7.118499191525899e-09,1.1984044718068595e-13,0.0,0.0,True,0.0,0.3928630179718198,1
43,12900.0,3.5833333333333335,0.0,0.0,0.0,0.5,0.5573460372853432,2.695878247701437e-08,0.8927680709773975,100000000.0,0.0,0.1640684916842115,0.013671592203432514,-8.679501561914549e-16,0.0008952574918987458,1.804340176117862e-09,8.187772360611236e-06,7.2852317973027524e-09,6.243859320030803e-11,4.76190965138417e-10,7.2852317973027524e-09,1.1886642828542552e-13,0.0,0.0,True,0.0,0.38626302905291543,1
44,13200.0,3.6666666666666665,0.0,0.0,0.0,0.5,0.5585320801594583,2.695878247701437e-08,0.893569578554953,100000000.0,0.0,0.16404821547603143,0.013953914526954062,-8.850475907706823e-16,0.0009786016874962539,1.0553030972695545e-10,3.898268223292138e-06,7.3822564922716e-09,6.136108494267268e-11,4.860380139798177e-10,7.3822564922716e-09,1.1770044932269968e-13,0.0,0.0,True,0.0,0.3935049186542604,1
45,13500.0,3.75,0.0,0.0,0.0,0.5,0.5597087455234102,2.695878247701437e-08,0.894482044357674,100000000.0,0.0,0.16467930724732158,0.01423060075681095,-9.022560476523721e-16,0.0005254274822913099,7.264560417909301e-09,9.681511070961214e-06,7.394412283802835e-09,5.5941265614787576e-11,4.90757927640707e-10,7.394412283802835e-09,1.1870277086375797e-13,0.0,0.0,True,0.0,0.3970266803115505,1
46,13800.0,3.8333333333333335,0.0,0.0,0.0,0.5,0.5608758068706232,2.695878247701437e-08,0.8952840322861878,100000000.0,0.0,0.16462781327217002,0.01450161815354729,-9.189982108637195e-16,0.0006357064652891539,6.377189885401007e-09,9.204727344045553e-06,7.429419974744931e-09,5.7066823787585374e-11,4.992365427798472e-10,7.429419974744931e-09,1.169511738595776e-13,0.0,0.0,True,0.0,0.3988648456918573,1
47,14100.0,3.9166666666666665,0.0,0.0,0.0,0.5,0.5620330558457702,2.695878247701437e-08,0.8958225546582887,100000000.0,0.0,0.16516777113886608,0.014768082117816347,-9.35651556233097e-16,0.0008933458727671079,1.0544270314596057e-09,8.134054875963649e-06,7.588031197631074e-09,6.337289965960595e-11,5.148370683098738e-10,7.588031197631074e-09,1.1696034315565203e-13,0.0,0.0,True,0.0,0.39889533987634573,1
48,14400.0,4.0,0.0,0.0,0.0,0.5,0.5631804966733297,2.695878247701437e-08,0.8964678244352867,100000000.0,0.0,0.1656573183050738,0.015029814847438797,-9.518608123926243e-16,0.0005775198107693185,1.8849590841660794e-11,9.894774545950557e-06,7.707129772541773e-09,6.301533480435042e-11,5.282452567726501e-10,7.707129772541773e-09,1.1995313328122686e-13,0.0,0.0,True,0.0,0.39626708483908407,1
49,14700.0,4.083333333333333,0.0,0.0,0.0,0.5,0.5643178840678977,2.695878247701437e-08,0.8972467131480242,100000000.0,0.0,0.16550076807331132,0.015285469562580253,-9.68491953301509e-16,0.0006466030878478343,6.602764099458914e-09,9.059828341286443e-06,7.716349672490428e-09,5.779107014008199e-11,5.303452910583931e-10,7.716349672490428e-09,1.1790440552225928e-13,0.0,0.0,True,0.0,0.39676547493214115,1
50,15000.0,4.166666666666667,0.0,0.0,0.0,0.5,0.5654451149939254,2.695878247701437e-08,0.8980177880447008,100000000.0,0.0,0.16486559289068223,0.015536540955252651,-9.847900273030064e-16,0.0009254693896421905,6.100214248382855e-10,8.15298072551445e-06,7.743217692054813e-09,5.4693591632908017e-11,5.374617758701511e-10,7.743217692054813e-09,1.139492217980661e-13,0.0,0.0,True,0.0,0.39991988457852,1
51,15300.0,4.25,0.0,0.0,0.0,0.5,0.5665621587410072,2.695878247701437e-08,0.8985496329271304,100000000.0,0.0,0.16571551284209723,0.01578423816559005,-1.0011769191464736e-15,0.0006158626763322418,8.852525855402725e-09,9.180055488140223e-06,7.83427780508793e-09,5.849430756254839e-11,5.454568703472971e-10,7.83427780508793e-09,1.1509112444038145e-13,0.0,0.0,True,0.0,0.40506811286896705,1
52,15600.0,4.333333333333333,0.0,0.0,0.0,0.5,0.5676687393100769,2.695878247701437e-08,0.8991273025490517,100000000.0,0.0,0.16660809516030234,0.01602711930337675,-1.0171641307010759e-15,0.000900701155363818,7.137280028139817e-10,8.66394179004879e-06,7.93675919949278e-09,6.086223160868383e-11,5.598813098004881e-10,7.93675919949278e-09,1.160124654141166e-13,0.0,0.0,True,0.0,0.4029494267519003,1
53,15900.0,4.416666666666667,0.0,0.0,0.0,0.5,0.5687648687957314,2.695878247701437e-08,0.8998311642797421,100000000.0,0.0,0.16536188051229975,0.016264083082714993,-1.0329515021112457e-15,0.0005636848536375021,9.81068038300773e-09,9.47630363709021e-06,7.951048468272449e-09,5.54956876859994e-11,5.703952664237381e-10,7.951048468272449e-09,1.1252938917645844e-13,0.0,0.0,True,0.0,0.39940500876560414,1
