step,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,retry_stage,retry_attempts,coupling_iterations,picard_iterations,gmres_iterations,thickness_substeps,all_attempts_coupling_iterations,all_attempts_picard_iterations,all_attempts_gmres_iterations
169,14.083333333333334,0.0,0.0,0.0,reset_aitken,2,8,455,2208,1,8,555,2739
170,14.166666666666666,0.0,0.0,0.0,reset_aitken,2,8,341,1626,1,8,441,2128
171,14.25,0.0,0.0,0.0,reset_aitken,2,8,287,1538,1,8,387,2076
172,14.333333333333334,0.0,0.0,0.0,reset_aitken,2,8,423,2096,1,8,523,2612
173,14.416666666666666,0.0,0.0,0.0,reset_aitken,2,8,320,1736,1,8,420,2288
174,14.5,0.0,0.0,0.0,reset_aitken,2,8,400,1920,1,8,500,2447
175,14.583333333333334,0.0,0.0,0.0,reset_aitken,2,8,305,1613,1,8,405,2149
176,14.666666666666666,0.0,0.0,0.0,reset_aitken,2,8,315,1602,1,8,415,2110
177,14.75,0.0,0.0,0.0,standard,1,14,162,770,1,14,162,770
178,14.833333333333334,0.0,0.0,0.0,standard,1,10,152,792,1,10,152,792
179,14.916666666666666,0.0,0.0,0.0,standard,1,21,115,611,1,21,115,611
180,15.0,0.0,0.0,0.0,standard,1,14,149,773,1,14,149,773
181,15.083333333333334,0.0,0.0,0.0,standard,1,17,108,541,1,17,108,541
182,15.166666666666666,0.0,0.0,0.0,standard,1,19,99,520,1,19,99,520
183,15.25,0.0,0.0,0.0,standard,1,21,100,530,1,21,100,530
184,15.333333333333334,0.0,0.0,0.0,standard,1,17,100,506,1,17,100,506
185,15.416666666666666,0.0,0.0,0.0,standard,1,18,74,407,1,18,74,407
186,15.5,0.0,0.0,0.0,standard,1,19,59,309,1,19,59,309
187,15.583333333333334,0.0,0.0,0.0,standard,1,16,49,295,1,16,49,295
188,15.666666666666666,0.0,0.0,0.0,standard,1,16,48,255,1,16,48,255
189,15.75,0.0,0.0,0.0,standard,1,14,45,249,1,14,45,249
190,15.833333333333334,0.0,0.0,0.0,standard,1,18,47,253,1,18,47,253
191,15.916666666666666,0.0,0.0,0.0,standard,1,22,48,257,1,22,48,257
192,16.0,0.0,0.0,0.0,standard,1,21,57,317,1,21,57,317
193,16.083333333333332,0.0,0.0,0.0,standard,1,22,68,362,1,22,68,362
194,16.166666666666668,0.0,0.0,0.0,standard,1,14,38,213,1,14,38,213
195,16.25,0.0,0.0,0.0,standard,1,15,37,202,1,15,37,202
196,16.333333333333332,0.0,0.0,0.0,standard,1,16,48,275,1,16,48,275
197,16.416666666666668,0.0,0.0,0.0,standard,1,13,32,178,1,13,32,178
198,16.5,0.0,0.0,0.0,standard,1,20,44,245,1,20,44,245
199,16.583333333333332,0.0,0.0,0.0,standard,1,18,38,209,1,18,38,209
200,16.666666666666668,0.0,0.0,0.0,standard,1,20,40,226,1,20,40,226
201,16.75,0.0,0.0,0.0,standard,1,20,50,270,1,20,50,270
202,16.833333333333332,0.0,0.0,0.0,standard,1,16,62,356,1,16,62,356
203,16.916666666666668,0.0,0.0,0.0,standard,1,14,49,274,1,14,49,274
204,17.0,0.0,0.0,0.0,standard,1,22,69,374,1,22,69,374
205,17.083333333333332,0.0,0.0,0.0,standard,1,20,59,324,1,20,59,324
206,17.166666666666668,0.0,0.0,0.0,standard,1,13,36,208,1,13,36,208
207,17.25,0.0,0.0,0.0,standard,1,21,70,362,1,21,70,362
208,17.333333333333332,0.0,0.0,0.0,standard,1,11,59,324,1,11,59,324
209,17.416666666666668,0.0,0.0,0.0,standard,1,17,78,406,1,17,78,406
210,17.5,0.0,0.0,0.0,standard,1,12,67,359,1,12,67,359
211,17.583333333333332,0.0,0.0,0.0,standard,1,13,73,382,1,13,73,382
212,17.666666666666668,0.0,0.0,0.0,standard,1,11,67,412,1,11,67,412
213,17.75,0.0,0.0,0.0,standard,1,21,84,464,1,21,84,464
214,17.833333333333332,0.0,0.0,0.0,standard,1,12,63,333,1,12,63,333
215,17.916666666666668,0.0,0.0,0.0,standard,1,13,59,317,1,13,59,317
216,18.0,0.0,0.0,0.0,standard,1,11,46,245,1,11,46,245
217,18.083333333333332,0.0,0.0,0.0,standard,1,15,42,236,1,15,42,236
218,18.166666666666668,0.0,0.0,0.0,standard,1,15,53,511,1,15,53,511
219,18.25,0.0,0.0,0.0,standard,1,14,41,223,1,14,41,223
220,18.333333333333332,0.0,0.0,0.0,standard,1,17,57,314,1,17,57,314
221,18.416666666666668,0.0,0.0,0.0,standard,1,11,48,265,1,11,48,265
222,18.5,0.0,0.0,0.0,standard,1,17,86,466,1,17,86,466
223,18.583333333333332,0.0,0.0,0.0,standard,1,11,72,787,1,11,72,787
224,18.666666666666668,0.0,0.0,0.0,standard,1,21,117,620,1,21,117,620
225,18.75,0.0,0.0,0.0,standard,1,17,81,1109,1,17,81,1109
226,18.833333333333332,0.0,0.0,0.0,standard,1,13,63,347,1,13,63,347
227,18.916666666666668,0.0,0.0,0.0,standard,1,17,83,431,1,17,83,431
228,19.0,0.0,0.0,0.0,standard,1,11,63,1232,1,11,63,1232
229,19.083333333333332,0.0,0.0,0.0,standard,1,17,69,356,1,17,69,356
230,19.166666666666668,0.0,0.0,0.0,standard,1,13,65,358,1,13,65,358
231,19.25,0.0,0.0,0.0,standard,1,18,77,389,1,18,77,389
232,19.333333333333332,0.0,0.0,0.0,standard,1,14,74,387,1,14,74,387
233,19.416666666666668,0.0,0.0,0.0,standard,1,21,124,1776,1,21,124,1776
234,19.5,0.0,0.0,0.0,standard,1,13,98,2177,1,13,98,2177
235,19.583333333333332,0.0,0.0,0.0,standard,1,17,158,3641,1,17,158,3641
236,19.666666666666668,0.0,0.0,0.0,standard,1,11,108,1365,1,11,108,1365
237,19.75,0.0,0.0,0.0,standard,1,12,180,5415,1,12,180,5415
238,19.833333333333332,0.0,0.0,0.0,standard,1,15,92,2538,1,15,92,2538
239,19.916666666666668,0.0,0.0,0.0,standard,1,12,58,994,1,12,58,994
240,20.0,0.0,0.0,0.0,standard,1,18,85,1819,1,18,85,1819
241,20.083333333333332,0.0,0.0,0.0,standard,1,11,66,2027,1,11,66,2027
242,20.166666666666668,0.0,0.0,0.0,standard,1,17,81,2153,1,17,81,2153
243,20.25,0.0,0.0,0.0,standard,1,14,79,1494,1,14,79,1494
244,20.333333333333332,0.0,0.0,0.0,standard,1,19,109,2464,1,19,109,2464
245,20.416666666666668,0.0,0.0,0.0,standard,1,11,75,1292,1,11,75,1292
246,20.5,0.0,0.0,0.0,standard,1,15,107,2667,1,15,107,2667
247,20.583333333333332,0.0,0.0,0.0,standard,1,16,90,1964,1,16,90,1964
248,20.666666666666668,0.0,0.0,0.0,standard,1,14,188,4281,1,14,188,4281
249,20.75,0.0,0.0,0.0,standard,1,15,122,3398,1,15,122,3398
250,20.833333333333332,0.0,0.0,0.0,standard,1,8,219,5389,1,8,219,5389
251,20.916666666666668,0.0,0.0,0.0,standard,1,19,128,2048,1,19,128,2048
252,21.0,0.0,0.0,0.0,standard,1,11,126,3219,1,11,126,3219
253,21.083333333333332,0.0,0.0,0.0,standard,1,14,102,2579,1,14,102,2579
254,21.166666666666668,0.0,0.0,0.0,standard,1,8,119,2849,1,8,119,2849
255,21.25,0.0,0.0,0.0,standard,1,14,81,2481,1,14,81,2481
256,21.333333333333332,0.0,0.0,0.0,standard,1,11,71,2180,1,11,71,2180
257,21.416666666666668,0.0,0.0,0.0,standard,1,17,91,2391,1,17,91,2391
258,21.5,0.0,0.0,0.0,standard,1,16,67,2134,1,16,67,2134
259,21.583333333333332,0.0,0.0,0.0,standard,1,16,94,2913,1,16,94,2913
260,21.666666666666668,0.0,0.0,0.0,standard,1,14,68,1908,1,14,68,1908
261,21.75,0.0,0.0,0.0,standard,1,17,121,3232,1,17,121,3232
262,21.833333333333332,0.0,0.0,0.0,standard,1,13,86,2206,1,13,86,2206
263,21.916666666666668,0.0,0.0,0.0,standard,1,13,179,5297,1,13,179,5297
264,22.0,0.0,0.0,0.0,standard,1,12,106,3085,1,12,106,3085
265,22.083333333333332,0.0,0.0,0.0,standard,1,10,203,7005,1,10,203,7005
266,22.166666666666668,0.0,0.0,0.0,standard,1,14,110,3941,1,14,110,3941
267,22.25,0.0,0.0,0.0,standard,1,10,153,4246,1,10,153,4246
268,22.333333333333332,0.0,0.0,0.0,standard,1,11,87,2428,1,11,87,2428
269,22.416666666666668,0.0,0.0,0.0,standard,1,12,85,2587,1,12,85,2587
270,22.5,0.0,0.0,0.0,standard,1,12,69,1988,1,12,69,1988
271,22.583333333333332,0.0,0.0,0.0,standard,1,8,90,2746,1,8,90,2746
272,22.666666666666668,0.0,0.0,0.0,standard,1,14,64,1883,1,14,64,1883
273,22.75,0.0,0.0,0.0,standard,1,11,67,2246,1,11,67,2246
274,22.833333333333332,0.0,0.0,0.0,standard,1,15,50,1514,1,15,50,1514
275,22.916666666666668,0.0,0.0,0.0,standard,1,13,50,1353,1,13,50,1353
276,23.0,0.0,0.0,0.0,standard,1,15,44,1409,1,15,44,1409
277,23.083333333333332,0.0,0.0,0.0,standard,1,15,47,1299,1,15,47,1299
278,23.166666666666668,0.0,0.0,0.0,standard,1,15,53,1502,1,15,53,1502
279,23.25,0.0,0.0,0.0,standard,1,15,55,1580,1,15,55,1580
280,23.333333333333332,0.0,0.0,0.0,standard,1,13,76,2233,1,13,76,2233
281,23.416666666666668,0.0,0.0,0.0,standard,1,12,63,1945,1,12,63,1945
282,23.5,0.0,0.0,0.0,standard,1,13,110,3127,1,13,110,3127
283,23.583333333333332,0.0,0.0,0.0,standard,1,16,76,2060,1,16,76,2060
284,23.666666666666668,0.0,0.0,0.0,standard,1,10,140,3603,1,10,140,3603
285,23.75,0.0,0.0,0.0,standard,1,11,84,2674,1,11,84,2674
286,23.833333333333332,0.0,0.0,0.0,standard,1,8,193,5456,1,8,193,5456
287,23.916666666666668,0.0,0.0,0.0,standard,1,14,95,3110,1,14,95,3110
288,24.0,0.0,0.0,0.0,standard,1,8,150,5172,1,8,150,5172
